popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
24,151695,0.366,0.982,9,-4.123,0.234,4.21e-05,1.92e-06,0.312,0.196,118.264,metalcore
50,250032,0.465,0.451,9,-7.254,0.0272,0.103,0.00677,0.0891,0.0905,79.886,british
20,150920,0.786,0.515,11,-11.138,0.0646,0.748,0.26,0.257,0.496,164.715,j-dance
18,214784,0.565,0.765,4,-5.252,0.0691,0.0163,0.000273,0.0524,0.731,200.04,trip-hop
0,173933,0.704,0.727,2,-5.004,0.412,0.0596,0.0,0.214,0.301,93.533,reggaeton
29,264173,0.586,0.863,1,-6.138,0.0827,0.417,4.25e-06,0.347,0.937,89.797,salsa
60,223846,0.409,0.482,8,-9.917,0.0269,0.592,0.00448,0.078,0.335,78.987,folk
0,207331,0.497,0.353,7,-9.641,0.108,0.125,0.0,0.0785,0.169,143.916,electro
51,209533,0.668,0.575,9,-6.34,0.0338,0.863,0.0,0.104,0.619,134.037,pagode
0,167773,0.498,0.361,5,-7.184,0.0433,0.995,0.524,0.14,0.425,79.879,romance
19,223706,0.346,0.597,1,-13.628,0.0501,0.0131,0.00165,0.402,0.38,128.362,heavy-metal
15,278000,0.761,0.775,3,-7.495,0.0339,0.00698,0.000543,0.0512,0.966,123.017,trip-hop
43,313933,0.579,0.712,0,-6.119,0.0308,0.259,0.000253,0.18,0.486,80.998,indian
28,139855,0.287,0.923,2,-4.983,0.0818,0.000376,3.47e-06,0.08,0.514,87.576,hardcore
69,250973,0.526,0.981,8,-1.82,0.111,0.00318,0.00161,0.187,0.781,142.016,anime
67,157523,0.735,0.37,5,-12.581,0.0705,0.389,0.00163,0.106,0.305,112.015,chill
50,274893,0.502,0.83,9,-4.849,0.0554,0.00982,5.48e-05,0.0728,0.545,170.03,anime
0,243160,0.259,0.654,6,-3.858,0.0331,0.025,0.0,0.219,0.452,181.893,latin
21,232240,0.5,0.778,9,-5.025,0.0742,0.0422,1.2e-06,0.116,0.514,75.145,afrobeat
32,167252,0.58,0.928,0,-4.05,0.239,0.0938,0.0,0.293,0.366,135.903,party
59,198250,0.135,0.00723,2,-34.017,0.0416,0.992,0.9,0.0789,0.106,75.275,sleep
37,238586,0.542,0.868,8,-6.726,0.0325,3.83e-05,0.00841,0.978,0.498,131.956,world-music
27,258226,0.419,0.3,11,-9.615,0.0288,0.795,6.49e-05,0.107,0.204,128.275,show-tunes
19,252266,0.508,0.962,4,-3.129,0.033,0.0613,0.293,0.693,0.793,120.059,j-idol
0,267573,0.645,0.985,1,-3.715,0.111,0.00113,0.0102,0.223,0.446,113.934,alt-rock
0,195561,0.792,0.703,0,-4.678,0.0391,0.0874,0.000129,0.225,0.472,121.975,house
54,200019,0.582,0.489,1,-6.657,0.033,0.563,0.0,0.143,0.488,155.991,mandopop
21,181133,0.877,0.596,7,-4.882,0.323,0.348,0.0,0.0585,0.717,96.887,j-dance
67,232513,0.516,0.409,6,-11.925,0.0566,0.718,0.0,0.35,0.731,179.852,pop
45,207826,0.646,0.782,11,-4.422,0.0366,0.634,0.0,0.128,0.641,137.883,brazil
58,152224,0.69,0.847,6,-4.565,0.0374,0.0145,0.041,0.0777,0.49,124.015,deep-house
